size 2pattern,count: 154
CorePattern{ childAttr=3, parentAttr=[15]} #SUP: 185 #CONF: 0.40441932168550876
CorePattern{ childAttr=3, parentAttr=[18]} #SUP: 175 #CONF: 0.2656731757451182
CorePattern{ childAttr=3, parentAttr=[21]} #SUP: 179 #CONF: 0.4265159301130524
CorePattern{ childAttr=3, parentAttr=[25]} #SUP: 176 #CONF: 0.33504624871531347
CorePattern{ childAttr=12, parentAttr=[3]} #SUP: 193 #CONF: 0.33094213295074126
CorePattern{ childAttr=12, parentAttr=[6]} #SUP: 204 #CONF: 0.42706838833094213
CorePattern{ childAttr=12, parentAttr=[7]} #SUP: 193 #CONF: 0.33715925394548063
CorePattern{ childAttr=12, parentAttr=[9]} #SUP: 199 #CONF: 0.32711621233859395
CorePattern{ childAttr=12, parentAttr=[10]} #SUP: 200 #CONF: 0.3682448589191774
CorePattern{ childAttr=4, parentAttr=[3]} #SUP: 230 #CONF: 0.3334703947368421
CorePattern{ childAttr=12, parentAttr=[13]} #SUP: 198 #CONF: 0.37733142037302725
CorePattern{ childAttr=4, parentAttr=[7]} #SUP: 228 #CONF: 0.33100328947368424
CorePattern{ childAttr=12, parentAttr=[16]} #SUP: 172 #CONF: 0.25585844093735055
CorePattern{ childAttr=12, parentAttr=[18]} #SUP: 188 #CONF: 0.23959827833572453
CorePattern{ childAttr=4, parentAttr=[12]} #SUP: 235 #CONF: 0.3626644736842105
CorePattern{ childAttr=4, parentAttr=[13]} #SUP: 233 #CONF: 0.3832236842105263
CorePattern{ childAttr=4, parentAttr=[16]} #SUP: 204 #CONF: 0.24259868421052633
CorePattern{ childAttr=21, parentAttr=[3]} #SUP: 234 #CONF: 0.32092638544251445
CorePattern{ childAttr=4, parentAttr=[18]} #SUP: 215 #CONF: 0.2471217105263158
CorePattern{ childAttr=12, parentAttr=[27]} #SUP: 193 #CONF: 0.30703012912482064
CorePattern{ childAttr=21, parentAttr=[7]} #SUP: 232 #CONF: 0.3403639371381307
CorePattern{ childAttr=4, parentAttr=[22]} #SUP: 214 #CONF: 0.42886513157894735
CorePattern{ childAttr=21, parentAttr=[9]} #SUP: 235 #CONF: 0.3411910669975186
CorePattern{ childAttr=21, parentAttr=[10]} #SUP: 238 #CONF: 0.37427626137303555
CorePattern{ childAttr=4, parentAttr=[25]} #SUP: 224 #CONF: 0.31332236842105265
CorePattern{ childAttr=13, parentAttr=[3]} #SUP: 219 #CONF: 0.33303370786516856
CorePattern{ childAttr=4, parentAttr=[27]} #SUP: 219 #CONF: 0.3050986842105263
CorePattern{ childAttr=21, parentAttr=[15]} #SUP: 243 #CONF: 0.41356492969396197
CorePattern{ childAttr=13, parentAttr=[7]} #SUP: 219 #CONF: 0.3568539325842697
CorePattern{ childAttr=13, parentAttr=[9]} #SUP: 216 #CONF: 0.32
CorePattern{ childAttr=21, parentAttr=[18]} #SUP: 227 #CONF: 0.25144747725392885
CorePattern{ childAttr=13, parentAttr=[10]} #SUP: 220 #CONF: 0.35730337078651686
CorePattern{ childAttr=21, parentAttr=[19]} #SUP: 238 #CONF: 0.45409429280397023
CorePattern{ childAttr=13, parentAttr=[15]} #SUP: 223 #CONF: 0.43191011235955057
CorePattern{ childAttr=21, parentAttr=[25]} #SUP: 223 #CONF: 0.34325889164598844
CorePattern{ childAttr=13, parentAttr=[18]} #SUP: 208 #CONF: 0.2660674157303371
CorePattern{ childAttr=13, parentAttr=[19]} #SUP: 213 #CONF: 0.39640449438202247
CorePattern{ childAttr=13, parentAttr=[22]} #SUP: 205 #CONF: 0.42157303370786514
CorePattern{ childAttr=13, parentAttr=[25]} #SUP: 208 #CONF: 0.3262921348314607
CorePattern{ childAttr=22, parentAttr=[3]} #SUP: 228 #CONF: 0.3577906018136851
CorePattern{ childAttr=13, parentAttr=[27]} #SUP: 197 #CONF: 0.2939325842696629
CorePattern{ childAttr=22, parentAttr=[7]} #SUP: 231 #CONF: 0.3491343775762572
